year,longitude,latitude,months,avg temp
2011,-60.1666666,-72.2,1,-3.13
2011,-71.4833333,-74.8,3,-16.67
2011,-71.4833333,-74.8,2,-13.6
2011,-71.4833333,-74.8,1,-13.06
2011,77.02,-76.42,12,-34.49
2011,77.02,-76.42,11,-41.16
2011,77.02,-76.42,10,-45.98
2011,77.02,-76.42,9,-48.42
2011,77.02,-76.42,8,-47.31
2011,77.02,-76.42,7,-46.47
2011,77.02,-76.42,6,-52.73
2011,77.02,-76.42,5,-47.53
2011,77.02,-76.42,4,-44.09
2011,77.02,-76.42,3,-40.53
2011,77.02,-76.42,2,-32.69
2011,77.02,-76.42,1,-28.14
2011,-68.2833333,-71.3166666,12,-0.38
2011,-68.2833333,-71.3166666,11,-6.23
2011,-68.2833333,-71.3166666,10,-10.94
2011,-68.2833333,-71.3166666,9,-17.42
2011,-68.2833333,-71.3166666,8,-15.13
2011,-68.2833333,-71.3166666,7,-18.17
2011,-68.2833333,-71.3166666,6,-15.61
2011,-68.2833333,-71.3166666,5,-8.86
2011,-68.2833333,-71.3166666,4,-13.18
2011,-68.2833333,-71.3166666,3,-4.61
2011,-71.4833333,-74.8,4,-25.46
2011,-71.4833333,-74.8,5,-21.46
2011,-71.4833333,-74.8,6,-21.53
2011,-71.4833333,-74.8,7,
2011,123.3666666,-75.1166666,4,-57.44
2011,123.3666666,-75.1166666,5,-63.83
2011,123.3666666,-75.1166666,6,-68.94
2011,123.3666666,-75.1166666,7,-61.97
2011,123.3666666,-75.1166666,8,-59.66
2011,123.3666666,-75.1166666,9,-56.95
2011,123.3666666,-75.1166666,10,-50.73
2011,77.37,-80.37,12,-33.14
2011,77.37,-80.37,11,-37.12
2011,77.37,-80.37,10,-54.85
2011,77.37,-80.37,9,-61.26
2011,77.37,-80.37,8,-61.02
2011,-68.2833333,-71.3166666,2,-2.53
2011,77.37,-80.37,7,-62.01
2011,77.37,-80.37,5,-65.64
2011,39.7,-77.3166666,9,-62.38
2011,77.37,-80.37,3,-56.54
2011,77.37,-80.37,2,-43.66
2011,77.37,-80.37,1,-31.87
2011,123.3666666,-75.1166666,11,-37.11
2011,123.3666666,-75.1166666,12,-27.09
2011,-71.4833333,-74.8,12,-11.26
2011,-71.4833333,-74.8,11,-16.58
2011,-71.4833333,-74.8,10,-20.62
2011,-71.4833333,-74.8,9,-28.33
2011,-71.4833333,-74.8,8,-15.19
2011,77.37,-80.37,6,-65.05
2011,-68.2833333,-71.3166666,1,-1.91
2011,-1.0166666,-89.0,1,-22.98
2011,-1.0166666,-89.0,2,-34.38
2011,0.0,-75.0,7,-48.08
