year,longitude,latitude,months,avg temp
2010,106.8666666,-78.45,3,-61.21
2010,106.8666666,-78.45,4,-64.02
2010,106.8666666,-78.45,9,-59.36
2010,106.8666666,-78.45,6,-61.13
2010,106.8666666,-78.45,7,-64.72
2010,106.8666666,-78.45,8,-62.81
2010,106.8666666,-78.45,10,-55.67
2010,106.8666666,-78.45,1,-32.31
2010,106.8666666,-78.45,5,-67.67
2010,106.8666666,-78.45,2,-47.23
2010,-71.4833333,-74.8,1,-12.89
2010,106.8666666,-78.45,12,-30.48
2010,123.3666666,-75.1166666,4,-61.84
2010,123.3666666,-75.1166666,5,-63.31
2010,123.3666666,-75.1166666,6,-64.52
2010,123.3666666,-75.1166666,7,-66.57
2013,123.3666666,-75.1166666,8,-62.02
2010,123.3666666,-75.1166666,9,-54.81
2010,123.3666666,-75.1166666,10,-49.89
2010,145.8666666,-75.5333333,12,-24.45
2010,145.8666666,-75.5333333,11,-37.22
2010,123.3666666,-75.1166666,3,-54.08
2010,145.8666666,-75.5333333,10,-47.07
2010,145.8666666,-75.5333333,8,-51.57
2010,145.8666666,-75.5333333,7,-56.7
2010,145.8666666,-75.5333333,5,-57.69
2010,145.8666666,-75.5333333,4,-54.68
2010,145.8666666,-75.5333333,3,-49.45
2010,145.8666666,-75.5333333,2,-38.68
2010,145.8666666,-75.5333333,1,-26.14
2010,123.3666666,-75.1166666,11,-37.53
2010,123.3666666,-75.1166666,12,-25.86
2010,145.8666666,-75.5333333,9,-50.22
2010,106.8666666,-78.45,11,-39.7
2010,123.3666666,-75.1166666,2,-42.3
2010,-68.2833333,-71.3166666,1,-0.67
2010,-71.4833333,-74.8,10,-22.28
2010,-71.4833333,-74.8,9,-27.32
2010,-71.4833333,-74.8,8,-28.89
2010,-71.4833333,-74.8,7,-28.66
2010,-71.4833333,-74.8,6,-27.23
2013,-71.4833333,-74.8,5,-25.81
2010,-71.4833333,-74.8,4,-20.63
2010,-71.4833333,-74.8,3,-14.82
2010,-71.4833333,-74.8,2,-12.86
2010,123.3666666,-75.1166666,1,-27.26
2010,-68.2833333,-71.3166666,12,-3.52
2010,-68.2833333,-71.3166666,10,-11.29
2010,-68.2833333,-71.3166666,9,-16.02
2010,-68.2833333,-71.3166666,8,-13.79
2010,-68.2833333,-71.3166666,7,-17.15
2010,-68.2833333,-71.3166666,6,-17.64
2010,-68.2833333,-71.3166666,5,-14.14
2010,-68.2833333,-71.3166666,4,-5.49
2010,-68.2833333,-71.3166666,3,-4.13
2010,-68.2833333,-71.3166666,2,-1.37
2010,-68.2833333,-71.3166666,11,-8.62
2010,145.8666666,-75.5333333,6,-55.03
2010,39.7,-77.3166666,12,-32.19
2010,89.6666666,-89,11,-32.45
2010,-26.2722222,-75.61,5,-27.74
2010,-26.2722222,-75.61,6,-17.48
2010,-26.2722222,-75.61,7,-26.41
2010,-26.2722222,-75.61,8,-29.13
2010,-26.2722222,-75.61,9,-24.84
2010,-26.2722222,-75.61,10,-20.94
2010,-59.15,-75.8666666,12,-6.87
2010,-59.15,-75.8666666,10,-26.86
2010,-26.2722222,-75.61,12,-5.09
2010,-59.15,-75.8666666,9,-27.82
2010,-34.6166666,-77.8666666,2,-6.49
2010,-34.6166666,-77.8666666,3,-13.91
2010,-34.6166666,-77.8666666,4,-14.49
2010,-34.6166666,-77.8666666,5,-22.93
2010,-34.6166666,-77.8666666,6,-13.73
2010,-26.2722222,-75.61,4,-19.64
2010,-26.2722222,-75.61,3,-19.97
2010,-26.2722222,-75.61,2,-11.28
2010,-26.2722222,-75.61,1,-4.79
2010,-1.0166666,-89,3,-51.55
2010,-1.0166666,-89,2,-40.55
2010,-1.0166666,-89,1,-23.36
2010,-13.05,-82.7666666,12,-19.48
2010,-59.15,-75.8666666,11,-12.46
2010,-60.1666666,-72.2,12,-4.97
2010,-60.1666666,-72.2,11,-10.14
2010,-34.6166666,-77.8666666,7,-19.83
2010,-60.1666666,-72.2,10,-21.15
2010,-60.1666666,-72.2,8,-20.76
2010,-60.1666666,-72.2,7,-26.83
2010,-60.1666666,-72.2,6,-23.09
2010,-60.1666666,-72.2,5,-26.42
2010,-60.1666666,-72.2,4,-18.26
2010,-60.1666666,-72.2,2,-5.19
2010,-13.05,-82.7666666,11,-26.78
2010,-60.1666666,-72.2,9,-21.31
2010,-34.6166666,-77.8666666,8,-18.29
2010,-34.6166666,-77.8666666,9,-15.81
2010,-34.6166666,-77.8666666,10,-16.29
2010,-13.05,-82.7666666,8,
2010,-13.3833333,-73.05,5,-30.22
2010,-13.05,-82.7666666,6,-37.64
2010,-13.05,-82.7666666,5,-47.23
2010,-13.05,-82.7666666,4,-43.02
2010,-13.05,-82.7666666,3,-44.31
2010,-13.05,-82.7666666,2,-29.39
2010,-13.05,-82.7666666,9,-42.23
2010,-13.3833333,-73.05,11,-21.33
